Fecha;Día;Hora;T_prom
2019-06-15T00:00:00;Lunes;0:00:00;12.8
2019-06-15T01:00:00;Lunes;1:00:00;12.5
2019-06-15T02:00:00;Lunes;2:00:00;12.6
2019-06-15T03:00:00;Lunes;3:00:00;12.1
2019-06-15T04:00:00;Lunes;4:00:00;12.2
2019-06-15T05:00:00;Lunes;5:00:00;11.9
2019-06-15T06:00:00;Lunes;6:00:00;12.7
2019-06-15T07:00:00;Lunes;7:00:00;13.5
2019-06-16T08:00:00;Lunes;8:00:00;15.3
2019-06-16T09:00:00;Lunes;9:00:00;15.6
2019-06-16T10:00:00;Lunes;10:00:00;15.6
2019-06-16T11:00:00;Lunes;11:00:00;15
2019-06-16T12:00:00;Lunes;12:00:00;15.3
2019-06-16T13:00:00;Lunes;13:00:00;15.2
2019-06-16T14:00:00;Lunes;14:00:00;15.8
2019-06-16T15:00:00;Lunes;15:00:00;16
2019-06-16T16:00:00;Lunes;16:00:00;15.8
2019-06-16T17:00:00;Lunes;17:00:00;15.7
2019-06-16T18:00:00;Lunes;18:00:00;15.1
2019-06-16T19:00:00;Lunes;19:00:00;14.9
2019-06-16T20:00:00;Lunes;20:00:00;14.4
2019-06-16T21:00:00;Lunes;21:00:00;13.3
2019-06-16T22:00:00;Lunes;22:00:00;12.7
2019-06-16T23:00:00;Lunes;23:00:00;12.4
2019-06-17T00:00:00;Martes;0:00:00;12.3
2019-06-17T01:00:00;Martes;1:00:00;12.5
2019-06-17T02:00:00;Martes;2:00:00;12.3
2019-06-17T03:00:00;Martes;3:00:00;12
2019-06-17T04:00:00;Martes;4:00:00;11.9
2019-06-17T05:00:00;Martes;5:00:00;12.1
2019-06-17T06:00:00;Martes;6:00:00;12.8
2019-06-17T07:00:00;Martes;7:00:00;14.3
2019-06-17T08:00:00;Martes;8:00:00;14.5
2019-06-17T09:00:00;Martes;9:00:00;14.8
2019-06-17T10:00:00;Martes;10:00:00;16
2019-06-17T11:00:00;Martes;11:00:00;16.1
2019-06-17T12:00:00;Martes;12:00:00;15.5
2019-06-17T13:00:00;Martes;13:00:00;15.4
2019-06-17T14:00:00;Martes;14:00:00;15.9
2019-06-17T15:00:00;Martes;15:00:00;16.2
2019-06-17T16:00:00;Martes;16:00:00;16
2019-06-17T17:00:00;Martes;17:00:00;15.5
2019-06-17T18:00:00;Martes;18:00:00;14.6
2019-06-17T19:00:00;Martes;19:00:00;14.3
2019-06-17T20:00:00;Martes;20:00:00;13.6
2019-06-17T21:00:00;Martes;21:00:00;13.4
2019-06-17T22:00:00;Martes;22:00:00;13.3
2019-06-17T23:00:00;Martes;23:00:00;12.9
2019-06-20T00:00:00;Miércoles;0:00:00;13.8
2019-06-20T01:00:00;Miércoles;1:00:00;13.8
2019-06-20T02:00:00;Miércoles;2:00:00;13.8
2019-06-20T03:00:00;Miércoles;3:00:00;13.7
2019-06-20T04:00:00;Miércoles;4:00:00;13.7
2019-06-20T05:00:00;Miércoles;5:00:00;13.5
2019-06-20T06:00:00;Miércoles;6:00:00;13.4
2019-06-20T07:00:00;Miércoles;7:00:00;13.8
2019-06-20T08:00:00;Miércoles;8:00:00;14.9
2019-06-20T09:00:00;Miércoles;9:00:00;15.9
2019-06-20T10:00:00;Miércoles;10:00:00;16.5
2019-06-20T11:00:00;Miércoles;11:00:00;16.2
2019-06-20T12:00:00;Miércoles;12:00:00;15.8
2019-06-20T13:00:00;Miércoles;13:00:00;15.1
2019-06-20T14:00:00;Miércoles;14:00:00;15.6
2019-06-20T15:00:00;Miércoles;15:00:00;15.4
2019-06-20T16:00:00;Miércoles;16:00:00;16.4
2019-06-20T17:00:00;Miércoles;17:00:00;15.5
2019-06-20T18:00:00;Miércoles;18:00:00;15.8
2019-06-20T19:00:00;Miércoles;19:00:00;15.1
2019-06-20T20:00:00;Miércoles;20:00:00;14.1
2019-06-20T21:00:00;Miércoles;21:00:00;13.3
2019-06-20T22:00:00;Miércoles;22:00:00;12.8
2019-06-20T23:00:00;Miércoles;23:00:00;12.6
2019-06-21T00:00:00;Jueves;0:00:00;12.3
2019-06-21T01:00:00;Jueves;1:00:00;12.2
2019-06-21T02:00:00;Jueves;2:00:00;12
2019-06-21T03:00:00;Jueves;3:00:00;12
2019-06-21T04:00:00;Jueves;4:00:00;11.9
2019-06-21T05:00:00;Jueves;5:00:00;12
2019-06-21T06:00:00;Jueves;6:00:00;12.3
2019-06-21T07:00:00;Jueves;7:00:00;13.5
2019-06-21T08:00:00;Jueves;8:00:00;14.7
2019-06-21T09:00:00;Jueves;9:00:00;15.8
2019-06-21T10:00:00;Jueves;10:00:00;15.9
2019-06-21T11:00:00;Jueves;11:00:00;16.7
2019-06-21T12:00:00;Jueves;12:00:00;16.2
2019-06-21T13:00:00;Jueves;13:00:00;16.8
2019-06-21T14:00:00;Jueves;14:00:00;16.9
2019-06-21T15:00:00;Jueves;15:00:00;17.3
2019-06-21T16:00:00;Jueves;16:00:00;17.7
2019-06-21T17:00:00;Jueves;17:00:00;18.6
2019-06-21T18:00:00;Jueves;18:00:00;17.9
2019-06-21T19:00:00;Jueves;19:00:00;18
2019-06-21T20:00:00;Jueves;20:00:00;17.3
2019-06-21T21:00:00;Jueves;21:00:00;17
2019-06-21T22:00:00;Jueves;22:00:00;17.3
2019-06-21T23:00:00;Jueves;23:00:00;17.5
2019-06-22T00:00:00;Viernes;0:00:00;16.9
2019-06-22T01:00:00;Viernes;1:00:00;16.7
2019-06-22T02:00:00;Viernes;2:00:00;15.8
2019-06-22T03:00:00;Viernes;3:00:00;15
2019-06-22T04:00:00;Viernes;4:00:00;14.5
2019-06-22T05:00:00;Viernes;5:00:00;14.5
2019-06-22T06:00:00;Viernes;6:00:00;14.5
2019-06-22T07:00:00;Viernes;7:00:00;14.5
2019-06-22T08:00:00;Viernes;8:00:00;14.8
2019-06-22T09:00:00;Viernes;9:00:00;14.8
2019-06-22T10:00:00;Viernes;10:00:00;15.5
2019-06-22T11:00:00;Viernes;11:00:00;15.5
2019-06-22T12:00:00;Viernes;12:00:00;16.8
2019-06-22T13:00:00;Viernes;13:00:00;16
2019-06-22T14:00:00;Viernes;14:00:00;16.2
2019-06-22T15:00:00;Viernes;15:00:00;15.5
2019-06-22T16:00:00;Viernes;16:00:00;15.2
2019-06-22T17:00:00;Viernes;17:00:00;13.9
2019-06-22T18:00:00;Viernes;18:00:00;14.4
2019-06-22T19:00:00;Viernes;19:00:00;14.2
2019-06-22T20:00:00;Viernes;20:00:00;13.9
2019-06-22T21:00:00;Viernes;21:00:00;14
2019-06-22T22:00:00;Viernes;22:00:00;14.4
2019-06-22T23:00:00;Viernes;23:00:00;14.4
2019-06-23T00:00:00;Sábado;0:00:00;14.6
2019-06-23T01:00:00;Sábado;1:00:00;14.7
2019-06-23T02:00:00;Sábado;2:00:00;15
2019-06-23T03:00:00;Sábado;3:00:00;15.1
2019-06-23T04:00:00;Sábado;4:00:00;15.1
2019-06-23T05:00:00;Sábado;5:00:00;15
2019-06-23T06:00:00;Sábado;6:00:00;15
2019-06-23T07:00:00;Sábado;7:00:00;15.3
2019-06-23T08:00:00;Sábado;8:00:00;15.5
2019-06-23T09:00:00;Sábado;9:00:00;15.7
2019-06-23T10:00:00;Sábado;10:00:00;15.9
2019-06-23T11:00:00;Sábado;11:00:00;15.9
2019-06-23T12:00:00;Sábado;12:00:00;16.7
2019-06-23T13:00:00;Sábado;13:00:00;16.3
2019-06-23T14:00:00;Sábado;14:00:00;16.2
2019-06-23T15:00:00;Sábado;15:00:00;16.5
2019-06-23T16:00:00;Sábado;16:00:00;16.3
2019-06-23T17:00:00;Sábado;17:00:00;16.4
2019-06-23T18:00:00;Sábado;18:00:00;16.2
2019-06-23T19:00:00;Sábado;19:00:00;16.5
2019-06-23T20:00:00;Sábado;20:00:00;15.8
2019-06-23T21:00:00;Sábado;21:00:00;15.4
2019-06-23T22:00:00;Sábado;22:00:00;15.2
2019-06-23T23:00:00;Sábado;23:00:00;15.3
2019-06-24T00:00:00;Domingo;0:00:00;15.4
2019-06-24T01:00:00;Domingo;1:00:00;15.4
2019-06-24T02:00:00;Domingo;2:00:00;15.3
2019-06-24T03:00:00;Domingo;3:00:00;15.2
2019-06-24T04:00:00;Domingo;4:00:00;15.1
2019-06-24T05:00:00;Domingo;5:00:00;14.9
2019-06-24T06:00:00;Domingo;6:00:00;14.6
2019-06-24T07:00:00;Domingo;7:00:00;14.8
2019-06-24T08:00:00;Domingo;8:00:00;15.2
2019-06-24T09:00:00;Domingo;9:00:00;15.5
2019-06-24T10:00:00;Domingo;10:00:00;15.7
2019-06-24T11:00:00;Domingo;11:00:00;16.7
2019-06-24T12:00:00;Domingo;12:00:00;18
2019-06-24T13:00:00;Domingo;13:00:00;18.4
2019-06-24T14:00:00;Domingo;14:00:00;19
2019-06-24T15:00:00;Domingo;15:00:00;19.5
2019-06-24T16:00:00;Domingo;16:00:00;19.6
2019-06-24T17:00:00;Domingo;17:00:00;18.9
2019-06-24T18:00:00;Domingo;18:00:00;18.1
2019-06-24T19:00:00;Domingo;19:00:00;17.4
2019-06-24T20:00:00;Domingo;20:00:00;16.6
2019-06-24T21:00:00;Domingo;21:00:00;15.9
2019-06-24T22:00:00;Domingo;22:00:00;15.9
2019-06-24T23:00:00;Domingo;23:00:00;15.5
